type,id,sku,parent_sku,upc,name,titlename,slug,description,enabled,external_url,options,variant_type,product_type,buy_button_text,in_stock_text,download_link,hide_options_from_display_name,customer_service_can_add,price1_name,price1_value,price2_name,price2_value,price3_name,price3_value,price4_name,price4_value,price5_name,price5_value,price6_name,price6_value,price7_name,price7_value,price8_name,price8_value,price9_name,price9_value,price10_name,price10_value,price11_name,price11_value,price12_name,price12_value,price13_name,price13_value,price14_name,price14_value,price15_name,price15_value,item1_sku,item1_qty,item1_badge,item2_sku,item2_qty,item2_badge,item3_sku,item3_qty,item3_badge,item4_sku,item4_qty,item4_badge,item5_sku,item5_qty,item5_badge,item6_sku,item6_qty,item6_badge,item7_sku,item7_qty,item7_badge,item8_sku,item8_qty,item8_badge,item9_sku,item9_qty,item9_badge,item10_sku,item10_qty,item10_badge,item11_sku,item11_qty,item11_badge,item12_sku,item12_qty,item12_badge,item13_sku,item13_qty,item13_badge,item14_sku,item14_qty,item14_badge,item15_sku,item15_qty,item15_badge,item16_sku,item16_qty,item16_badge,item17_sku,item17_qty,item17_badge,item18_sku,item18_qty,item18_badge,item19_sku,item19_qty,item19_badge,item20_sku,item20_qty,item20_badge,item21_sku,item21_qty,item21_badge,item22_sku,item22_qty,item22_badge,item23_sku,item23_qty,item23_badge,item24_sku,item24_qty,item24_badge,item25_sku,item25_qty,item25_badge,item26_sku,item26_qty,item26_badge,item27_sku,item27_qty,item27_badge,item28_sku,item28_qty,item28_badge,item29_sku,item29_qty,item29_badge,item30_sku,item30_qty,item30_badge,item31_sku,item31_qty,item31_badge,item32_sku,item32_qty,item32_badge,item33_sku,item33_qty,item33_badge,item34_sku,item34_qty,item34_badge,item35_sku,item35_qty,item35_badge,item36_sku,item36_qty,item36_badge,item37_sku,item37_qty,item37_badge,item38_sku,item38_qty,item38_badge,item39_sku,item39_qty,item39_badge,item40_sku,item40_qty,item40_badge,sort_order
product,,CLST-CHSK-MULTI,,,Cold Stone Cheesecake Multi Packs,Cold Stone Cheesecake Multi Packs,cold-stone-cheesecake-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,CLST-CHSK-DBL,CLST-CHSK-MULTI,CLST-CHSK-DBL,Cold Stone Cheesecake (2 Pack),Cold Stone Cheesecake (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLST-CHSK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,CLST-CHSK-TRP,CLST-CHSK-MULTI,CLST-CHSK-TRP,Cold Stone Cheesecake (3 Pack),Cold Stone Cheesecake (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLST-CHSK,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,CLST-VNWC-MULTI,,,Cold Stone Vanilla Waffle Cone Multi Packs,Cold Stone Vanilla Waffle Cone Multi Packs,cold-stone-vanilla-waffle-cone-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,CLST-VNWC-DBL,CLST-VNWC-MULTI,CLST-VNWC-DBL,Cold Stone Vanilla Waffle Cone (2 Pack),Cold Stone Vanilla Waffle Cone (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLST-VNWC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,CLST-VNWC-TRP,CLST-VNWC-MULTI,CLST-VNWC-TRP,Cold Stone Vanilla Waffle Cone (3 Pack),Cold Stone Vanilla Waffle Cone (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLST-VNWC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,FS-GRHS-MULTI,,,Garlic & Herb Salt Finisher Multi Packs,Garlic & Herb Salt Finisher Multi Packs,garlic-&-herb-salt-finisher-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,FS-GRHS-DBL,FS-GRHS-MULTI,FS-GRHS-DBL,Garlic & Herb Salt Finisher (2 Pack),Garlic & Herb Salt Finisher (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS-GRHS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,FS-GRHS-TRP,FS-GRHS-MULTI,FS-GRHS-TRP,Garlic & Herb Salt Finisher (3 Pack),Garlic & Herb Salt Finisher (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS-GRHS,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,FS-HSPP-MULTI,,,Himalayan Salt & Pink Peppercorn Finisher Multi Packs,Himalayan Salt & Pink Peppercorn Finisher Multi Packs,himalayan-salt-&-pink-peppercorn-finisher-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,FS-HSPP-DBL,FS-HSPP-MULTI,FS-HSPP-DBL,Himalayan Salt & Pink Peppercorn Finisher (2 Pack),Himalayan Salt & Pink Peppercorn Finisher (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS-HSPP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,FS-HSPP-TRP,FS-HSPP-MULTI,FS-HSPP-TRP,Himalayan Salt & Pink Peppercorn Finisher (3 Pack),Himalayan Salt & Pink Peppercorn Finisher (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS-HSPP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,RB-HNBQ-MULTI,,,Honey BBQ Rub Multi Packs,Honey BBQ Rub Multi Packs,honey-bbq-rub-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-HNBQ-DBL,RB-HNBQ-MULTI,RB-HNBQ-DBL,Honey BBQ Rub (2 Pack),Honey BBQ Rub (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-HNBQ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-HNBQ-TRP,RB-HNBQ-MULTI,RB-HNBQ-TRP,Honey BBQ Rub (3 Pack),Honey BBQ Rub (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-HNBQ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,RB-JMJR-MULTI,,,Jamaican Jerk Rub Multi Packs,Jamaican Jerk Rub Multi Packs,jamaican-jerk-rub-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-JMJR-DBL,RB-JMJR-MULTI,RB-JMJR-DBL,Jamaican Jerk Rub (2 Pack),Jamaican Jerk Rub (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-JMJR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-JMJR-TRP,RB-JMJR-MULTI,RB-JMJR-TRP,Jamaican Jerk Rub (3 Pack),Jamaican Jerk Rub (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-JMJR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,RB-OBBQ-MULTI,,,Original BBQ Rub Multi Packs,Original BBQ Rub Multi Packs,original-bbq-rub-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-OBBQ-DBL,RB-OBBQ-MULTI,RB-OBBQ-DBL,Original BBQ Rub (2 Pack),Original BBQ Rub (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-OBBQ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-OBBQ-TRP,RB-OBBQ-MULTI,RB-OBBQ-TRP,Original BBQ Rub (3 Pack),Original BBQ Rub (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-OBBQ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,RB-STKC-MULTI,,,Steak & Chop Rub Multi Packs,Steak & Chop Rub Multi Packs,steak-&-chop-rub-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-STKC-DBL,RB-STKC-MULTI,RB-STKC-DBL,Steak & Chop Rub (2 Pack),Steak & Chop Rub (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-STKC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,RB-STKC-TRP,RB-STKC-MULTI,RB-STKC-TRP,Steak & Chop Rub (3 Pack),Steak & Chop Rub (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB-STKC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,SN-BCLV-MULTI,,,Bacon Lovers Seasoning Multi Packs,Bacon Lovers Seasoning Multi Packs,bacon-lovers-seasoning-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,SN-BCLV-DBL,SN-BCLV-MULTI,SN-BCLV-DBL,Bacon Lovers Seasoning (2 Pack),Bacon Lovers Seasoning (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-BCLV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,SN-BCLV-TRP,SN-BCLV-MULTI,SN-BCLV-TRP,Bacon Lovers Seasoning (3 Pack),Bacon Lovers Seasoning (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-BCLV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,SN-BFLO-MULTI,,,Buffalo Seasoning Multi Packs,Buffalo Seasoning Multi Packs,buffalo-seasoning-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,SN-BFLO-DBL,SN-BFLO-MULTI,SN-BFLO-DBL,Buffalo Seasoning (2 Pack),Buffalo Seasoning (2 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-BFLO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variant,,SN-BFLO-TRP,SN-BFLO-MULTI,SN-BFLO-TRP,Buffalo Seasoning (3 Pack),Buffalo Seasoning (3 Pack),,,1,,,Bundle,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN-BFLO,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,,SN-CHPL-MULTI,,,Chipotle Seasoning Multi Packs,Chipotle Seasoning Multi Packs,chipotle-seasoning-multi-packs,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
